time,TagName,no
2008-08-01 00:00:00,python,124
2008-09-01 00:00:00,python,542
2008-10-01 00:00:00,python,510
2008-11-01 00:00:00,python,452
2008-12-01 00:00:00,python,441
2009-01-01 00:00:00,python,631
2009-02-01 00:00:00,python,630
2009-03-01 00:00:00,python,765
2009-04-01 00:00:00,python,768
2009-05-01 00:00:00,python,999
2009-06-01 00:00:00,python,1045
2009-07-01 00:00:00,python,1162
2009-08-01 00:00:00,python,1139
2009-09-01 00:00:00,python,1166
2009-10-01 00:00:00,python,1421
2009-11-01 00:00:00,python,1559
2009-12-01 00:00:00,python,1589
2010-01-01 00:00:00,python,1949
2010-02-01 00:00:00,python,1866
2010-03-01 00:00:00,python,2072
2010-04-01 00:00:00,python,1816
2010-05-01 00:00:00,python,2010
2010-06-01 00:00:00,python,2209
2010-07-01 00:00:00,python,2596
2010-08-01 00:00:00,python,2494
2010-09-01 00:00:00,python,2252
2010-10-01 00:00:00,python,2672
2010-11-01 00:00:00,python,2611
2010-12-01 00:00:00,python,2484
2011-01-01 00:00:00,python,2907
2011-02-01 00:00:00,python,3017
2011-03-01 00:00:00,python,3751
2011-04-01 00:00:00,python,3348
2011-05-01 00:00:00,python,3522
2011-06-01 00:00:00,python,3475
2011-07-01 00:00:00,python,3667
2011-08-01 00:00:00,python,3835
2011-09-01 00:00:00,python,3522
2011-10-01 00:00:00,python,3631
2011-11-01 00:00:00,python,3877
2011-12-01 00:00:00,python,3627
2012-01-01 00:00:00,python,4212
2012-02-01 00:00:00,python,4498
2012-03-01 00:00:00,python,5049
2012-04-01 00:00:00,python,4932
2012-05-01 00:00:00,python,5111
2012-06-01 00:00:00,python,5286
2012-07-01 00:00:00,python,5738
2012-08-01 00:00:00,python,5872
2012-09-01 00:00:00,python,5260
2012-10-01 00:00:00,python,6138
2012-11-01 00:00:00,python,6403
2012-12-01 00:00:00,python,5765
2013-01-01 00:00:00,python,6590
2013-02-01 00:00:00,python,6755
2013-03-01 00:00:00,python,7650
2013-04-01 00:00:00,python,7965
2013-05-01 00:00:00,python,7839
2013-06-01 00:00:00,python,7618
2013-07-01 00:00:00,python,8642
2013-08-01 00:00:00,python,7960
2013-09-01 00:00:00,python,7989
2013-10-01 00:00:00,python,9522
2013-11-01 00:00:00,python,9522
2013-12-01 00:00:00,python,8492
2014-01-01 00:00:00,python,9864
2014-02-01 00:00:00,python,9939
2014-03-01 00:00:00,python,11468
2014-04-01 00:00:00,python,10812
2014-05-01 00:00:00,python,9301
2014-06-01 00:00:00,python,8954
2014-07-01 00:00:00,python,9974
2014-08-01 00:00:00,python,9149
2014-09-01 00:00:00,python,8807
2014-10-01 00:00:00,python,9626
2014-11-01 00:00:00,python,9612
2014-12-01 00:00:00,python,9078
2015-01-01 00:00:00,python,9730
2015-02-01 00:00:00,python,10230
2015-03-01 00:00:00,python,11653
2015-04-01 00:00:00,python,11488
2015-05-01 00:00:00,python,11251
2015-06-01 00:00:00,python,11841
2015-07-01 00:00:00,python,12364
2015-08-01 00:00:00,python,11258
2015-09-01 00:00:00,python,10999
2015-10-01 00:00:00,python,12529
2015-11-01 00:00:00,python,12339
2015-12-01 00:00:00,python,11686
2016-01-01 00:00:00,python,12385
2016-02-01 00:00:00,python,13292
2016-03-01 00:00:00,python,14118
2016-04-01 00:00:00,python,13706
2016-05-01 00:00:00,python,13162
2016-06-01 00:00:00,python,12953
2016-07-01 00:00:00,python,12863
2016-08-01 00:00:00,python,12944
2016-09-01 00:00:00,python,12380
2016-10-01 00:00:00,python,13543
2016-11-01 00:00:00,python,14228
2016-12-01 00:00:00,python,13082
2017-01-01 00:00:00,python,14316
2017-02-01 00:00:00,python,14813
2017-03-01 00:00:00,python,17167
2017-04-01 00:00:00,python,15686
2017-05-01 00:00:00,python,16214
2017-06-01 00:00:00,python,16074
2017-07-01 00:00:00,python,16961
2017-08-01 00:00:00,python,16512
2017-09-01 00:00:00,python,15485
2017-10-01 00:00:00,python,17002
2017-11-01 00:00:00,python,17038
2017-12-01 00:00:00,python,15004
2018-01-01 00:00:00,python,16302
2018-02-01 00:00:00,python,16389
2018-03-01 00:00:00,python,17965
2018-04-01 00:00:00,python,17028
2018-05-01 00:00:00,python,17628
2018-06-01 00:00:00,python,16857
2018-07-01 00:00:00,python,17981
2018-08-01 00:00:00,python,17870
2018-09-01 00:00:00,python,16154
2018-10-01 00:00:00,python,18328
2018-11-01 00:00:00,python,18209
2018-12-01 00:00:00,python,15918
2019-01-01 00:00:00,python,17163
2019-02-01 00:00:00,python,17746
2019-03-01 00:00:00,python,20136
2019-04-01 00:00:00,python,20045
2019-05-01 00:00:00,python,19122
2019-06-01 00:00:00,python,17507
2019-07-01 00:00:00,python,20030
2019-08-01 00:00:00,python,18805
2019-09-01 00:00:00,python,19201
2019-10-01 00:00:00,python,23398
2019-11-01 00:00:00,python,23590
2019-12-01 00:00:00,python,20526
2020-01-01 00:00:00,python,22699
2020-02-01 00:00:00,python,22938
2020-03-01 00:00:00,python,26673
2020-04-01 00:00:00,python,32605
2020-05-01 00:00:00,python,34478
2020-06-01 00:00:00,python,31817
2020-07-01 00:00:00,python,31261
