French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
affaire,case
donner,give
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
